cluster_id,contour_id,point_index,x,y
0,6,48,1132,1086
0,6,49,1150,1120
0,6,50,1270,1053
0,6,51,1433,928
0,6,52,1508,895
0,6,53,1778,822
0,6,54,1897,777
0,6,55,1902,749
0,6,56,1916,754
0,6,57,1911,774
0,6,58,2088,746
0,7,0,2016,351
0,7,1,2013,348
0,7,2,2000,355
0,7,3,1998,370
0,7,4,1993,366
0,7,5,1992,360
0,7,6,1986,358
0,7,7,1931,373
0,7,8,1928,380
0,7,9,1922,384
0,7,10,1913,383
0,7,11,1907,387
0,7,12,1880,390
0,7,13,1870,399
0,7,14,1866,411
0,7,15,1858,408
0,7,16,1796,440
0,7,17,1786,455
0,7,18,1767,465
0,7,19,1762,474
0,7,20,1751,480
0,7,21,1745,476
0,7,22,1735,477
0,7,23,1651,500
0,7,24,1637,509
0,7,25,1644,506
0,7,26,1656,509
0,7,27,1662,506
0,7,28,1671,518
0,7,29,1680,524
0,7,30,1701,517
0,7,31,1747,494
0,7,32,1755,484
0,7,33,1765,484
0,7,34,1765,475
0,7,35,1768,472
0,7,36,1782,470
0,7,37,1780,465
0,7,38,1783,458
0,7,39,1787,457
0,7,40,1789,460
0,7,41,1786,470
0,7,42,1789,471
0,7,43,1853,441
0,7,44,1863,433
0,7,45,1865,413
0,7,46,1869,414
0,7,47,1869,429
0,7,48,1872,432
0,7,49,1892,422
0,7,50,1957,401
0,7,51,1962,394
0,7,52,1970,397
0,7,53,1985,392
0,7,54,2000,383
0,7,55,2001,371
0,7,56,2007,374
0,7,57,2012,371
0,7,58,2017,359
0,8,0,2091,305
0,8,1,2090,304
0,8,2,2088,304
0,8,3,2087,305
0,8,4,2086,305
0,8,5,2081,310
0,8,6,2080,310
0,8,7,2077,313
0,8,8,2076,313
0,8,9,2072,316
0,8,10,2071,316
0,8,11,2068,319
0,8,12,2067,319
0,8,13,2064,321
0,8,14,2062,321
0,8,15,2053,326
0,8,16,2051,326
0,8,17,2046,330
0,8,18,2031,337
0,8,19,2025,343
0,8,20,2025,350
0,8,21,2024,351
0,8,22,2024,354
0,8,23,2023,355
0,8,24,2023,357
0,8,25,2021,360
0,8,26,2021,364
0,8,27,2023,366
0,8,28,2025,366
0,8,29,2029,363
0,8,30,2034,361
0,8,31,2034,360
0,8,32,2038,357
0,8,33,2043,355
0,8,34,2043,354
0,8,35,2045,352
0,8,36,2045,351
0,8,37,2052,344
0,8,38,2053,344
0,8,39,2062,335
0,8,40,2063,335
0,8,41,2065,333
0,8,42,2070,331
0,8,43,2077,323
0,8,44,2078,323
0,8,45,2081,321
0,8,46,2084,321
0,8,47,2086,323
0,8,48,2087,323
0,8,49,2087,316
0,8,50,2092,308
0,9,0,9,62
0,9,1,9,63
0,9,2,8,64
0,9,3,8,66
0,9,4,7,67
0,9,5,7,75
0,9,6,9,77
0,9,7,9,78
0,9,8,10,78
0,9,9,12,80
0,9,10,13,80
0,9,11,14,81
0,9,12,15,81
0,9,13,16,82
0,9,14,17,82
0,9,15,18,83
0,9,16,21,83
0,9,17,22,84
0,9,18,28,84
0,9,19,30,82
0,9,20,30,78
0,9,21,29,77
0,9,22,29,76
0,9,23,28,76
0,9,24,26,74
0,9,25,25,74
0,9,26,24,73
0,9,27,14,73
0,9,28,12,71
0,9,29,12,70
0,9,30,11,69
0,9,31,11,67
0,9,32,12,66
0,9,33,12,62
0,10,0,34,37
0,10,1,33,38
0,10,2,33,41
0,10,3,35,43
0,10,4,35,44
0,10,5,36,45
